Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
books_source_repo,com.sismics.books.activity,BookDetailActivity,onCreate,14,3,1
books_source_repo,com.sismics.books.activity,BookDetailActivity,onOptionsItemSelected,8,2,1
books_source_repo,com.sismics.books.activity,BookListActivity,onCreate,8,2,1
books_source_repo,com.sismics.books.activity,BookListActivity,onItemSelected,14,2,1
books_source_repo,com.sismics.books.activity,BookListActivity,onCreateOptionsMenu,4,1,1
books_source_repo,com.sismics.books.activity,BookListActivity,onOptionsItemSelected,17,3,1
books_source_repo,com.sismics.books.activity,BookListActivity,onFinish,5,1,0
books_source_repo,com.sismics.books.activity,LoginActivity,onCreate,69,3,1
books_source_repo,com.sismics.books.activity,LoginActivity,onComplete,3,1,0
books_source_repo,com.sismics.books.activity,LoginActivity,onClick,37,2,1
books_source_repo,com.sismics.books.activity,LoginActivity,onSuccess,11,1,1
books_source_repo,com.sismics.books.activity,LoginActivity,onComplete,5,1,0
books_source_repo,com.sismics.books.activity,LoginActivity,onFailure,10,2,4
books_source_repo,com.sismics.books.activity,LoginActivity,tryConnect,35,4,0
books_source_repo,com.sismics.books.activity,LoginActivity,onSuccess,10,2,1
books_source_repo,com.sismics.books.activity,LoginActivity,onFailure,4,1,4
books_source_repo,com.sismics.books.activity,LoginActivity,onFinish,3,1,0
books_source_repo,com.sismics.books.adapter,BooksAdapter,BooksAdapter,7,1,2
books_source_repo,com.sismics.books.adapter,BooksAdapter,getView,29,3,3
books_source_repo,com.sismics.books.adapter,BooksAdapter,getCount,3,1,0
books_source_repo,com.sismics.books.adapter,BooksAdapter,getItem,3,1,1
books_source_repo,com.sismics.books.adapter,BooksAdapter,getItemId,3,1,1
books_source_repo,com.sismics.books.fragment,BookDetailFragment,BookDetailFragment,2,1,0
books_source_repo,com.sismics.books.fragment,BookDetailFragment,onCreateView,29,4,3
books_source_repo,com.sismics.books.fragment,BookDetailFragment,onSuccess,17,3,1
books_source_repo,com.sismics.books.fragment,BookListFragment,onItemSelected,0,1,1
books_source_repo,com.sismics.books.fragment,BookListFragment,onItemSelected,2,1,1
books_source_repo,com.sismics.books.fragment,BookListFragment,BookListFragment,2,1,0
books_source_repo,com.sismics.books.fragment,BookListFragment,onCreate,5,1,1
books_source_repo,com.sismics.books.fragment,BookListFragment,refreshBooks,12,2,0
books_source_repo,com.sismics.books.fragment,BookListFragment,onSuccess,7,2,1
books_source_repo,com.sismics.books.fragment,BookListFragment,onCreateOptionsMenu,3,1,2
books_source_repo,com.sismics.books.fragment,BookListFragment,onOptionsItemSelected,14,2,1
books_source_repo,com.sismics.books.fragment,BookListFragment,startActivityForResult,3,1,2
books_source_repo,com.sismics.books.fragment,BookListFragment,onActivityResult,17,2,3
books_source_repo,com.sismics.books.fragment,BookListFragment,onSuccess,4,1,1
books_source_repo,com.sismics.books.fragment,BookListFragment,onFailure,3,1,2
books_source_repo,com.sismics.books.fragment,BookListFragment,onViewCreated,6,2,2
books_source_repo,com.sismics.books.fragment,BookListFragment,onAttach,7,2,1
