Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
books_source_repo,com.sismics.books.activity,BookDetailActivity,0,0,2,1,27,5,0,0,-1.0,0,1
books_source_repo,com.sismics.books.activity,BookListActivity,1,0,5,4,55,9,0,0,0.8,0,4
books_source_repo,com.sismics.books.activity,LoginActivity,2,0,10,9,118,18,0,0,0.4,1,6
books_source_repo,com.sismics.books.adapter,BooksAdapter,8,0,5,5,69,7,0,0,0.4,0,2
books_source_repo,com.sismics.books.adapter,ViewHolder,3,0,0,0,9,0,0,0,-1.0,1,0
books_source_repo,com.sismics.books.fragment,BookDetailFragment,2,1,3,3,47,8,0,0,1.0,2,2
books_source_repo,com.sismics.books.fragment,BookListFragment,4,0,19,16,132,27,0,0,0.631578947368421,2,6
books_source_repo,com.sismics.books.fragment,Callbacks,0,0,1,1,9,1,0,0,-1.0,1,0
books_source_repo,com.sismics.books.listener,CallbackListener,0,0,1,1,7,1,0,0,-1.0,2,0
books_source_repo,com.sismics.books,MainApplication,0,0,2,2,14,2,0,0,-1.0,0,2
books_source_repo,com.sismics.books,BaseTransactionalTest,0,0,2,2,15,2,0,0,-1.0,0,2
books_source_repo,com.sismics.books.model,ApplicationContext,2,0,7,6,64,12,0,0,0.5714285714285714,4,4
books_source_repo,com.sismics.books.resource,BaseResource,4,0,8,6,87,11,2,0,0.75,0,3
books_source_repo,com.sismics.books.resource,MySSLSocketFactory,1,0,6,6,27,6,0,0,0.6666666666666666,1,0
books_source_repo,com.sismics.books.resource,BookResource,0,0,3,3,37,3,0,1,-1.0,2,0
books_source_repo,com.sismics.books.resource,UserResource,0,0,3,3,41,3,0,1,-1.0,3,0
books_source_repo,com.sismics.books.util,ApplicationUtil,0,0,2,2,34,2,0,0,-1.0,1,0
books_source_repo,com.sismics.books.util,DialogUtil,0,0,4,4,42,6,0,0,-1.0,2,0
books_source_repo,com.sismics.books.util,PreferenceUtil,0,0,9,9,127,15,0,0,-1.0,7,1
books_source_repo,com.sismics.books.util.form,Validable,2,0,4,4,32,4,0,0,0.5,1,0
books_source_repo,com.sismics.books.util.form,Validator,3,0,8,8,87,20,0,0,0.375,1,3
books_source_repo,com.sismics.books.util.form.validator,Alphanumeric,1,0,2,2,13,2,0,1,1.0,0,0
books_source_repo,com.sismics.books.util.form.validator,Email,1,0,2,2,16,2,0,1,1.0,0,0
books_source_repo,com.sismics.books.util.form.validator,Length,3,0,3,3,37,4,0,1,0.0,0,0
books_source_repo,com.sismics.books.util.form.validator,Required,0,0,2,2,12,2,0,1,-1.0,0,0
books_source_repo,com.sismics.books.util.form.validator,ValidatorType,0,0,2,2,18,2,4,0,-1.0,1,0
books_source_repo,com.sismics.books.zxing,IntentIntegrator,22,12,31,25,270,53,0,0,0.0967741935483871,2,1
books_source_repo,com.sismics.books.zxing,IntentResult,5,0,8,6,61,8,0,0,0.25,1,0
books_source_repo,com.sismics.books.core.constant,Constants,5,5,0,0,26,0,0,0,-1.0,5,0
books_source_repo,com.sismics.books.core.dao.file.theme,ThemeDao,1,0,2,2,25,3,0,0,1.0,2,1
books_source_repo,com.sismics.books.core.dao.jpa,AuthenticationTokenDao,0,0,7,7,95,8,0,0,-1.0,2,2
books_source_repo,com.sismics.books.core.dao.jpa,BookDao,0,0,3,3,47,3,0,0,-1.0,2,2
books_source_repo,com.sismics.books.core.dao.jpa,ConfigDao,0,0,1,1,23,2,0,0,-1.0,2,2
books_source_repo,com.sismics.books.core.dao.jpa,LocaleDao,0,0,2,2,29,2,0,0,-1.0,3,2
books_source_repo,com.sismics.books.core.dao.jpa,RoleBaseFunctionDao,0,0,1,1,20,1,0,0,-1.0,2,1
books_source_repo,com.sismics.books.core.dao.jpa,TagDao,0,0,9,9,149,11,0,0,-1.0,3,4
books_source_repo,com.sismics.books.core.dao.jpa,UserAppDao,0,0,9,9,182,12,0,0,-1.0,2,3
books_source_repo,com.sismics.books.core.dao.jpa,UserBookDao,0,0,6,6,140,14,0,0,-1.0,2,8
books_source_repo,com.sismics.books.core.dao.jpa,UserContactDao,0,0,5,5,114,11,0,0,-1.0,2,7
books_source_repo,com.sismics.books.core.dao.jpa,UserDao,0,0,10,9,176,14,0,0,-1.0,4,8
books_source_repo,com.sismics.books.core.dao.jpa,TestJpa,0,0,1,1,19,1,0,0,-1.0,0,3
books_source_repo,com.sismics.books.core.dao.jpa.criteria,UserBookCriteria,4,0,8,8,78,8,0,0,0.5,2,0
books_source_repo,com.sismics.books.core.dao.jpa.criteria,UserContactCriteria,3,0,6,6,60,6,0,0,0.5,2,0
books_source_repo,com.sismics.books.core.dao.jpa.dto,TagDto,3,0,6,6,60,6,0,0,0.5,1,0
books_source_repo,com.sismics.books.core.dao.jpa.dto,UserAppDto,6,0,12,12,114,12,0,0,0.5,1,0
books_source_repo,com.sismics.books.core.dao.jpa.dto,UserBookDto,8,0,16,16,150,16,0,0,0.5,1,0
books_source_repo,com.sismics.books.core.dao.jpa.dto,UserContactDto,3,0,6,6,60,6,0,0,0.5,1,0
books_source_repo,com.sismics.books.core.dao.jpa.dto,UserDto,5,0,10,10,96,10,0,0,0.5,1,0
books_source_repo,com.sismics.books.core.event,BookImportedEvent,2,0,5,5,45,5,0,0,0.0,2,1
books_source_repo,com.sismics.books.core.event,UserAppCreatedEvent,1,0,3,3,27,3,0,0,0.0,2,1
books_source_repo,com.sismics.books.core.listener.async,BookImportAsyncListener,1,0,2,2,101,27,0,0,0.0,0,10
books_source_repo,com.sismics.books.core.listener.async,UserAppCreatedAsyncListener,1,0,2,2,40,7,0,0,0.0,0,5
books_source_repo,com.sismics.books.core.listener.sync,DeadEventListener,1,0,1,1,17,1,0,0,0.0,0,0
books_source_repo,com.sismics.books.core.model.context,AppContext,7,0,9,6,115,11,0,0,0.2222222222222222,7,4
books_source_repo,com.sismics.books.core.model.jpa,App,1,0,3,3,27,3,0,0,0.0,0,0
books_source_repo,com.sismics.books.core.model.jpa,AuthenticationToken,5,0,11,11,99,11,0,0,0.36363636363636365,3,0
books_source_repo,com.sismics.books.core.model.jpa,BaseFunction,1,0,3,3,27,3,0,0,0.0,1,0
books_source_repo,com.sismics.books.core.model.jpa,Book,10,0,21,21,189,21,0,0,0.42857142857142855,4,0
books_source_repo,com.sismics.books.core.model.jpa,Config,2,0,5,5,45,5,0,0,0.4,2,0
books_source_repo,com.sismics.books.core.model.jpa,Locale,1,0,3,3,27,3,0,0,0.0,5,0
books_source_repo,com.sismics.books.core.model.jpa,Role,4,0,9,9,81,9,0,0,0.3333333333333333,0,0
books_source_repo,com.sismics.books.core.model.jpa,RoleBaseFunction,5,0,11,11,99,11,0,0,0.2727272727272727,0,0
books_source_repo,com.sismics.books.core.model.jpa,Tag,6,0,13,13,117,13,0,0,0.38461538461538464,4,0
books_source_repo,com.sismics.books.core.model.jpa,User,10,0,21,21,189,21,0,0,0.42857142857142855,7,0
books_source_repo,com.sismics.books.core.model.jpa,UserApp,10,0,21,21,189,21,0,0,0.38095238095238093,5,0
books_source_repo,com.sismics.books.core.model.jpa,UserBook,7,0,15,15,157,24,0,0,0.3333333333333333,5,1
books_source_repo,com.sismics.books.core.model.jpa,UserBookTag,4,0,9,9,103,18,0,0,0.2222222222222222,2,1
books_source_repo,com.sismics.books.core.model.jpa,UserContact,9,0,19,19,171,19,0,0,0.3684210526315789,2,0
books_source_repo,com.sismics.books.core.service,BookDataService,8,0,9,5,224,25,0,0,0.0,1,7
books_source_repo,com.sismics.books.core.service,FacebookService,3,0,11,6,174,33,0,0,0.5454545454545454,3,8
books_source_repo,com.sismics.books.core.service.facebook,AuthenticationException,1,0,1,1,17,1,0,0,0.0,0,0
books_source_repo,com.sismics.books.core.service.facebook,PermissionException,1,0,1,1,17,1,0,0,0.0,0,0
books_source_repo,com.sismics.books.core.util,ConfigUtil,0,0,4,4,47,5,0,0,-1.0,6,3
books_source_repo,com.sismics.books.core.util,DirectoryUtil,0,0,6,5,82,14,0,0,-1.0,6,2
books_source_repo,com.sismics.books.core.util,EntityManagerUtil,0,0,1,1,12,1,0,0,-1.0,0,1
